Country,2003
BE,189
BF,3
BG,1
BH,31
FR,61
ZA,15867
BW,1
VN,2
GN,1252
FI,1
RU,6
RW,2
NL,1362
NO,7
NA,73
NE,2
NG,1
RO,1
GW,2
CI,7432
CH,17
GR,2
GQ,736
JP,5
CA,53
CG,9243
CF,7
SY,9
BI,13
GG,6
CZ,15
CY,2
GB,150
GA,45
TG,7
CS,4
CR,3
TD,71
CU,2
GH,6
SZ,2
OM,1
KG,1
KE,2
JO,272
KW,61
SN,205
SL,1900
KY,1
SG,1519
SE,9
SD,2
DJ,1
DK,15
DE,25
HU,2
HK,3
DZ,2
JE,4
YU,3
CN,1
LB,60
CM,11113
PT,25
TW,52
TT,1
TR,4
TN,2
PA,2
TJ,2
TH,381
PE,1
PK,449
PH,416
LY,1
ZM,5
AE,32
VE,2
VG,2
EE,1
EG,16
IR,2
IT,21
AO,9
AN,1
AT,2
AW,1
ET,1
CD,15326
ID,1
ES,124
ZW,34
MG,6
MA,3
UA,1
XX,5
US,217
QA,4
MT,3
MW,3
SA,20
UG,5
MZ,1
MY,538
MX,9
IL,5
