App.,Taxon,Term,Unit,Country,2011
II,Psittacus erithacus,derivatives,,ES,1
II,Psittacus erithacus,derivatives,,FR,1
II,Psittacus erithacus,feathers,,ES,1
II,Psittacus erithacus,live,,AE,4152
II,Psittacus erithacus,live,,AO,2
II,Psittacus erithacus,live,,AT,1
II,Psittacus erithacus,live,,BB,2
II,Psittacus erithacus,live,,BE,8
II,Psittacus erithacus,live,,BH,5818
II,Psittacus erithacus,live,,BJ,5
II,Psittacus erithacus,live,,BM,2
II,Psittacus erithacus,live,,BR,1
II,Psittacus erithacus,live,,BS,2
II,Psittacus erithacus,live,,CA,59
II,Psittacus erithacus,live,,CD,8221
II,Psittacus erithacus,live,,CF,3
II,Psittacus erithacus,live,,CG,3233
II,Psittacus erithacus,live,,CH,7
II,Psittacus erithacus,live,,CI,6
II,Psittacus erithacus,live,,CM,353
II,Psittacus erithacus,live,,CU,8
II,Psittacus erithacus,live,,CY,1
II,Psittacus erithacus,live,,CZ,2
II,Psittacus erithacus,live,,DE,16
II,Psittacus erithacus,live,,DK,8
II,Psittacus erithacus,live,,DZ,5
II,Psittacus erithacus,live,,EG,1
II,Psittacus erithacus,live,,ES,10
II,Psittacus erithacus,live,,FR,24
II,Psittacus erithacus,live,,GA,22
II,Psittacus erithacus,live,,GB,6
II,Psittacus erithacus,live,,GH,5
II,Psittacus erithacus,live,,GN,720
II,Psittacus erithacus,live,,HK,1
II,Psittacus erithacus,live,,HR,2
II,Psittacus erithacus,live,,IL,5
II,Psittacus erithacus,live,,IR,16
II,Psittacus erithacus,live,,IT,2
II,Psittacus erithacus,live,,JM,2
II,Psittacus erithacus,live,,JO,13
II,Psittacus erithacus,live,,JP,4
II,Psittacus erithacus,live,,KW,130
II,Psittacus erithacus,live,,LB,2
II,Psittacus erithacus,live,,LT,3
II,Psittacus erithacus,live,,LU,1
II,Psittacus erithacus,live,,LY,2
II,Psittacus erithacus,live,,MA,1
II,Psittacus erithacus,live,,ML,30
II,Psittacus erithacus,live,,MX,4
II,Psittacus erithacus,live,,MY,361
II,Psittacus erithacus,live,,MZ,410
II,Psittacus erithacus,live,,NA,202
II,Psittacus erithacus,live,,NL,14
II,Psittacus erithacus,live,,NO,1
II,Psittacus erithacus,live,,OM,980
II,Psittacus erithacus,live,,PH,518
II,Psittacus erithacus,live,,PL,1
II,Psittacus erithacus,live,,PT,10
II,Psittacus erithacus,live,,QA,8
II,Psittacus erithacus,live,,RO,1
II,Psittacus erithacus,live,,RS,2
II,Psittacus erithacus,live,,RU,8
II,Psittacus erithacus,live,,SA,15
II,Psittacus erithacus,live,,SD,9
II,Psittacus erithacus,live,,SE,1
II,Psittacus erithacus,live,,SG,960
II,Psittacus erithacus,live,,SI,3
II,Psittacus erithacus,live,,SN,2
II,Psittacus erithacus,live,,SR,1
II,Psittacus erithacus,live,,SY,21
II,Psittacus erithacus,live,,SZ,2
II,Psittacus erithacus,live,,TG,3
II,Psittacus erithacus,live,,TH,6
II,Psittacus erithacus,live,,TM,1
II,Psittacus erithacus,live,,TR,4
II,Psittacus erithacus,live,,TW,175
II,Psittacus erithacus,live,,US,135
II,Psittacus erithacus,live,,UZ,72
II,Psittacus erithacus,live,,XX,3
II,Psittacus erithacus,live,,ZA,35101
II,Psittacus erithacus,live,,ZM,5
II,Psittacus erithacus,live,,ZW,6
II,Psittacus erithacus,specimens,,GQ,5
II,Psittacus erithacus,trophies,,CA,1
II,Psittacus erithacus,trophies,,ZA,1
II,Psittacus erithacus timneh,live,,AE,2
II,Psittacus erithacus timneh,live,,BH,95
II,Psittacus erithacus timneh,live,,CA,7
II,Psittacus erithacus timneh,live,,CI,5
II,Psittacus erithacus timneh,live,,CO,1
II,Psittacus erithacus timneh,live,,GN,300
II,Psittacus erithacus timneh,live,,MX,1
II,Psittacus erithacus timneh,live,,SL,2
II,Psittacus erithacus timneh,live,,US,6
II,Psittacus erithacus timneh,live,,XX,1
II,Psittacus erithacus timneh,live,,ZA,226
II,Psittacus erithacus timneh,specimens,,SL,1
