Country,2000
BE,322
FR,65
BB,1
BM,2
JP,3
BI,1
BJ,4
JM,2
JO,2
BR,2
BS,4
JE,1
RU,7
NL,1977
NO,6
NA,11
NE,1
NG,5
BF,1
OM,2
RO,1
XX,14
GW,1
CI,2714
GT,1
GR,53
CM,17532
CA,43
CG,2103
CF,21
CD,14292
GG,2
CZ,324
CY,2
GB,293
GA,47
CR,1
CV,1
SA,19
GH,2
SZ,1
SY,4
KE,48
ST,40
KR,6
KW,3
SN,4
GN,2675
SL,1108
KY,2
SG,139
SE,148
SD,4
DO,1
DK,14
DE,133
HU,3
HK,2
CH,72
FI,2
CN,1
LB,2
GQ,5
PT,5
TT,1
TR,4
TN,2
PA,1
LR,2100
TH,4
TG,3
PH,417
PL,2
LY,4
ZM,2
AE,14
VE,2
AG,2
VG,1
EG,5
IR,3
AM,3
IT,3
ZA,5977
IM,2
AT,6
AW,2
IN,1
ZW,43
IE,1
ID,1
ES,145
LC,2
MA,1
UZ,1
GE,1
US,237
MT,1
MR,2
UG,7
MZ,1
MY,6
MX,3
IL,6
