Country,2013
BE,207
FR,8
BG,40
BB,2
BH,5077
BI,1
BT,1
JM,1
BW,4
BR,1
BS,1
FI,1
RU,3
RW,1
NL,101
NO,1
NA,2
MY,2793
NE,7
NG,14000
NZ,1
CI,2
CH,17
CN,1
CM,1000
CA,66
CG,7100
CF,3
SY,12
CD,8369
CZ,4
CY,1
GB,19
GA,13
GN,400
CW,2
OM,8556
KE,2
SR,1
IL,1
SK,5
KR,1
SI,1
JO,3435
KW,281
SN,4
SL,28
SA,5
SG,1915
SD,2
DO,1
DK,2
DE,21
YE,1
HU,1
HK,3
DZ,5
JE,4
TZ,1
PT,72
TW,5
TR,329
TN,1
PA,1
TH,60
TG,43
PH,462
LY,1
ZM,1
AE,828
EG,3
IR,1
AM,2
IT,7
AO,1
ZA,49313
AR,1
AU,1
EC,1
LB,1740
IE,1
ID,441
ES,140
MA,2
UZ,665
ML,1443
XX,34
US,101
QA,3699
UG,3
UA,1
MX,3
MZ,4
