Country,1999
BE,353
BF,2
BG,2
BB,1
BM,1
BO,1
BH,1
FR,85
BT,1
JM,2
ZA,5351
JO,8
BR,2
BS,5
RU,11
NL,921
NO,3
NA,24
NE,3
NG,9
GW,2
GU,1
CH,30
GR,1
GQ,3
JP,2
CA,62
CG,1075
CF,25
SY,1
CD,14763
CZ,573
XX,48
GB,213
GA,43
TG,6
VN,2
CR,1
CU,32
OM,3
KE,8
ST,22
SK,2
KR,1
KW,5
SN,4
GN,1337
SL,1000
SC,1
HN,1
KY,1
SG,106
SE,11
SD,3
DO,1
DK,11
HR,1
DE,111
CI,2160
HU,5
AT,17
HK,3
GT,2
DZ,6
YU,10
LB,2
CM,19222
PT,28
TW,1
TT,1
TR,6
LK,1
LV,1
LR,3450
TH,1
PK,117
PH,389
PL,8
ZM,2
AE,204
EG,7
IR,6
IT,5
EC,2
AN,1
AR,2
AU,1
AO,59
IN,1
ZW,13
ID,1
ES,53
MG,1
MA,5
UZ,1
US,265
QA,1
MW,4
SA,14
MR,1
UG,3
MZ,7
MY,76
MX,1
IL,8
