Country,2012
BE,14
FR,20
DJ,1
DK,1
HR,2
SG,2170
DE,28
BH,13161
SY,56
HU,5
JM,1
ZA,42213
BW,2
BR,1
BS,1
CG,4534
JE,1
QA,129
ZW,9
LB,2
PT,41
NO,4
NA,404
TR,2
NE,16
LV,1
SK,1
LT,1
SN,4
TH,18
NL,29
NP,1
TG,5
PH,650
XX,400
EG,2
UA,2
LY,2
ZM,3
CI,2
CH,9
AE,5303
CM,53
RU,215
JP,1
CA,66
AM,65
CF,2
VN,1
CD,12891
CZ,50
CY,1
AT,1
GA,5
GN,510
AZ,1
ID,480
ES,19
GH,1
UG,4
OM,4698
MA,1
UZ,822
ML,2730
SA,8
KN,1
US,117
TC,1
MU,1
MT,1
SI,3
JO,1187
KW,300
SE,1
IT,1
MZ,125
MY,3423
MX,1
GB,18
IL,2
