App.,Taxon,Term,Unit,Country,2006
II,Psittacus erithacus,bodies,,DE,2
II,Psittacus erithacus,bodies,,ZA,1
II,Psittacus erithacus,feathers,,MX,1000
II,Psittacus erithacus,live,,AE,82
II,Psittacus erithacus,live,,AG,2
II,Psittacus erithacus,live,,AI,1
II,Psittacus erithacus,live,,AN,1
II,Psittacus erithacus,live,,AR,1
II,Psittacus erithacus,live,,BE,11
II,Psittacus erithacus,live,,BF,1
II,Psittacus erithacus,live,,BH,2
II,Psittacus erithacus,live,,BJ,2
II,Psittacus erithacus,live,,BR,1
II,Psittacus erithacus,live,,BS,1
II,Psittacus erithacus,live,,BY,1
II,Psittacus erithacus,live,,CA,36
II,Psittacus erithacus,live,,CD,10787
II,Psittacus erithacus,live,,CF,850
II,Psittacus erithacus,live,,CG,606
II,Psittacus erithacus,live,,CH,24
II,Psittacus erithacus,live,,CI,1401
II,Psittacus erithacus,live,,CM,4300
II,Psittacus erithacus,live,,CR,1
II,Psittacus erithacus,live,,DE,18
II,Psittacus erithacus,live,,EG,3
II,Psittacus erithacus,live,,ES,2
II,Psittacus erithacus,live,,FR,16
II,Psittacus erithacus,live,,GA,10
II,Psittacus erithacus,live,,GB,18
II,Psittacus erithacus,live,,GN,3595
II,Psittacus erithacus,live,,HK,3
II,Psittacus erithacus,live,,HN,1
II,Psittacus erithacus,live,,IE,3
II,Psittacus erithacus,live,,IL,4
II,Psittacus erithacus,live,,IN,1
II,Psittacus erithacus,live,,IQ,1
II,Psittacus erithacus,live,,IR,2
II,Psittacus erithacus,live,,IS,1
II,Psittacus erithacus,live,,IT,26
II,Psittacus erithacus,live,,JE,1
II,Psittacus erithacus,live,,JO,2
II,Psittacus erithacus,live,,JP,1
II,Psittacus erithacus,live,,KE,3
II,Psittacus erithacus,live,,KN,2
II,Psittacus erithacus,live,,KW,15
II,Psittacus erithacus,live,,LY,2
II,Psittacus erithacus,live,,MA,1
II,Psittacus erithacus,live,,MG,1
II,Psittacus erithacus,live,,MX,4
II,Psittacus erithacus,live,,MZ,1
II,Psittacus erithacus,live,,NA,24
II,Psittacus erithacus,live,,NL,15
II,Psittacus erithacus,live,,NO,3
II,Psittacus erithacus,live,,PH,340
II,Psittacus erithacus,live,,PL,2
II,Psittacus erithacus,live,,PT,1
II,Psittacus erithacus,live,,PY,1
II,Psittacus erithacus,live,,QA,1
II,Psittacus erithacus,live,,SA,1
II,Psittacus erithacus,live,,SD,1
II,Psittacus erithacus,live,,SE,5
II,Psittacus erithacus,live,,SG,8114
II,Psittacus erithacus,live,,SN,10
II,Psittacus erithacus,live,,SY,1
II,Psittacus erithacus,live,,TD,10
II,Psittacus erithacus,live,,TR,1
II,Psittacus erithacus,live,,TW,5
II,Psittacus erithacus,live,,UA,3
II,Psittacus erithacus,live,,UG,2
II,Psittacus erithacus,live,,US,130
II,Psittacus erithacus,live,,UZ,22
II,Psittacus erithacus,live,,XX,3
II,Psittacus erithacus,live,,ZA,4744
II,Psittacus erithacus,live,,ZM,1
II,Psittacus erithacus,skins,,DK,2
II,Psittacus erithacus,skulls,,ZA,4
II,Psittacus erithacus timneh,live,,BS,1
II,Psittacus erithacus timneh,live,,CA,1
II,Psittacus erithacus timneh,live,,CH,1
II,Psittacus erithacus timneh,live,,FR,1
II,Psittacus erithacus timneh,live,,GB,1
II,Psittacus erithacus timneh,live,,GN,400
II,Psittacus erithacus timneh,live,,JP,1
II,Psittacus erithacus timneh,live,,KW,3
II,Psittacus erithacus timneh,live,,SG,320
II,Psittacus erithacus timneh,live,,US,9
II,Psittacus erithacus timneh,live,,ZA,78
