App.,Taxon,Term,Unit,Country,1996
II,Psittacus erithacus,eggs,,CM,50
II,Psittacus erithacus,feathers,,NG,319
II,Psittacus erithacus,live,,AE,5
II,Psittacus erithacus,live,,AN,1
II,Psittacus erithacus,live,,AO,27
II,Psittacus erithacus,live,,AR,1
II,Psittacus erithacus,live,,AT,2
II,Psittacus erithacus,live,,BE,821
II,Psittacus erithacus,live,,BG,2
II,Psittacus erithacus,live,,BI,2
II,Psittacus erithacus,live,,BJ,19
II,Psittacus erithacus,live,,BR,2
II,Psittacus erithacus,live,,BS,3
II,Psittacus erithacus,live,,BW,1
II,Psittacus erithacus,live,,CA,21
II,Psittacus erithacus,live,,CD,10680
II,Psittacus erithacus,live,,CF,30
II,Psittacus erithacus,live,,CG,5
II,Psittacus erithacus,live,,CH,10
II,Psittacus erithacus,live,,CI,29
II,Psittacus erithacus,live,,CM,22409
II,Psittacus erithacus,live,,CN,2
II,Psittacus erithacus,live,,CY,1
II,Psittacus erithacus,live,,CZ,382
II,Psittacus erithacus,live,,DE,78
II,Psittacus erithacus,live,,DK,3
II,Psittacus erithacus,live,,DO,2
II,Psittacus erithacus,live,,DZ,9
II,Psittacus erithacus,live,,EC,1
II,Psittacus erithacus,live,,EG,9
II,Psittacus erithacus,live,,ES,230
II,Psittacus erithacus,live,,ET,1
II,Psittacus erithacus,live,,FR,78
II,Psittacus erithacus,live,,GA,20
II,Psittacus erithacus,live,,GB,151
II,Psittacus erithacus,live,,GH,2
II,Psittacus erithacus,live,,GL,1
II,Psittacus erithacus,live,,GM,2
II,Psittacus erithacus,live,,GN,69
II,Psittacus erithacus,live,,GQ,1
II,Psittacus erithacus,live,,GT,1
II,Psittacus erithacus,live,,GW,5
II,Psittacus erithacus,live,,HK,6
II,Psittacus erithacus,live,,HT,1
II,Psittacus erithacus,live,,ID,2
II,Psittacus erithacus,live,,IE,274
II,Psittacus erithacus,live,,IL,1
II,Psittacus erithacus,live,,IN,5
II,Psittacus erithacus,live,,IR,1
II,Psittacus erithacus,live,,IT,3
II,Psittacus erithacus,live,,JO,1
II,Psittacus erithacus,live,,JP,2
II,Psittacus erithacus,live,,KE,5
II,Psittacus erithacus,live,,KN,2
II,Psittacus erithacus,live,,KR,2
II,Psittacus erithacus,live,,KY,2
II,Psittacus erithacus,live,,LB,1
II,Psittacus erithacus,live,,LS,1
II,Psittacus erithacus,live,,LU,1
II,Psittacus erithacus,live,,MA,4
II,Psittacus erithacus,live,,ML,45
II,Psittacus erithacus,live,,MT,2
II,Psittacus erithacus,live,,MU,1
II,Psittacus erithacus,live,,MX,3
II,Psittacus erithacus,live,,MY,1
II,Psittacus erithacus,live,,NA,12
II,Psittacus erithacus,live,,NE,5
II,Psittacus erithacus,live,,NG,15
II,Psittacus erithacus,live,,NL,535
II,Psittacus erithacus,live,,NO,3
II,Psittacus erithacus,live,,PG,1
II,Psittacus erithacus,live,,PH,243
II,Psittacus erithacus,live,,PK,1
II,Psittacus erithacus,live,,PT,7
II,Psittacus erithacus,live,,RU,10
II,Psittacus erithacus,live,,SA,10
II,Psittacus erithacus,live,,SD,1
II,Psittacus erithacus,live,,SE,6
II,Psittacus erithacus,live,,SG,60
II,Psittacus erithacus,live,,SN,122
II,Psittacus erithacus,live,,SR,1
II,Psittacus erithacus,live,,ST,70
II,Psittacus erithacus,live,,TD,201
II,Psittacus erithacus,live,,TG,13
II,Psittacus erithacus,live,,TH,1
II,Psittacus erithacus,live,,TN,43
II,Psittacus erithacus,live,,TR,13
II,Psittacus erithacus,live,,TZ,2
II,Psittacus erithacus,live,,UG,2
II,Psittacus erithacus,live,,US,254
II,Psittacus erithacus,live,,VG,2
II,Psittacus erithacus,live,,XX,84
II,Psittacus erithacus,live,,ZA,470
II,Psittacus erithacus,live,,ZM,1
II,Psittacus erithacus,live,,ZW,5
II,Psittacus erithacus,specimens,g,CA,2
II,Psittacus erithacus,specimens,ml,CA,2
II,Psittacus erithacus,specimens,,BM,3
II,Psittacus erithacus,specimens,,CA,7
II,Psittacus erithacus,specimens,,NZ,1
II,Psittacus erithacus timneh,live,,AO,2
II,Psittacus erithacus timneh,live,,BN,2
II,Psittacus erithacus timneh,live,,BS,1
II,Psittacus erithacus timneh,live,,CA,9
II,Psittacus erithacus timneh,live,,CI,1
II,Psittacus erithacus timneh,live,,DE,1
II,Psittacus erithacus timneh,live,,DZ,1
II,Psittacus erithacus timneh,live,,EG,5
II,Psittacus erithacus timneh,live,,GB,4
II,Psittacus erithacus timneh,live,,GN,535
II,Psittacus erithacus timneh,live,,GW,7
II,Psittacus erithacus timneh,live,,ML,400
II,Psittacus erithacus timneh,live,,MX,1
II,Psittacus erithacus timneh,live,,NG,6
II,Psittacus erithacus timneh,live,,NL,1
II,Psittacus erithacus timneh,live,,SA,1
II,Psittacus erithacus timneh,live,,SL,2001
II,Psittacus erithacus timneh,live,,SN,3621
II,Psittacus erithacus timneh,live,,US,233
II,Psittacus erithacus timneh,live,,ZA,20
