Country,2008
BE,7
FR,17
BG,1
DJ,1
GA,10
HR,1
BM,1
SG,6169
DE,17
BH,484
HU,2
JM,1
ZA,20604
JO,3
DZ,1
BR,2
BS,3
FI,1
BZ,1
DK,4
RU,3
GL,2
LB,356
PT,27
NO,2
TD,1
NA,46
TR,3
NE,3
LV,1
SK,1
PA,1
TH,1
NL,11
PK,1
PH,229
EG,1
PL,1
LY,1
ZM,3
CI,16
CH,8
AE,419
CM,708
AI,1
CA,54
IR,4
CG,968
CF,2797
EC,1
AN,6
CZ,100
XX,1
AR,1
AT,2
AW,1
TG,13
GN,1670
CD,8578
SA,14
GH,2
ZW,10
SY,32
MA,2
KE,9
UZ,120
ML,101
RS,2
US,177
QA,1
MT,2
SI,2
KW,30
SN,1
TW,428
IT,2
TZ,2
MY,52
MX,3
GB,16
IL,89
