Country,2011
BE,8
FR,24
SL,2
DK,8
BB,2
HR,2
BM,2
DE,16
BH,5913
SY,21
BJ,5
UZ,72
JM,2
ZA,35327
JO,13
DZ,5
BR,1
BS,2
SG,960
TM,1
RU,8
LB,2
PT,10
NO,1
CO,1
NA,202
TR,4
LT,3
LU,1
ES,10
TH,6
NL,14
TG,3
AT,1
RO,1
EG,1
PL,1
LY,2
ZM,5
CI,11
CH,7
AE,4154
CM,353
SN,2
JP,4
CA,66
IR,16
CG,3233
CF,3
AO,2
CD,8221
CZ,2
CY,1
IL,5
GA,22
GN,1020
ZW,6
PH,518
CU,8
GH,5
SZ,2
OM,980
TW,175
MA,1
HK,1
ML,30
RS,2
XX,4
US,141
QA,8
SI,3
SA,15
KW,130
SD,9
SR,1
IT,2
MZ,410
MY,361
MX,5
SE,1
GB,6
