App.,Taxon,Term,Unit,Country,2005
II,Psittacus erithacus,eggs,,ZA,50
II,Psittacus erithacus,feathers,,DE,1
II,Psittacus erithacus,feathers,,JP,20
II,Psittacus erithacus,feathers,,MC,1
II,Psittacus erithacus,live,,AE,1782
II,Psittacus erithacus,live,,AG,2
II,Psittacus erithacus,live,,AO,4
II,Psittacus erithacus,live,,AT,1
II,Psittacus erithacus,live,,BE,31
II,Psittacus erithacus,live,,BG,1
II,Psittacus erithacus,live,,BH,874
II,Psittacus erithacus,live,,BJ,1
II,Psittacus erithacus,live,,BR,2
II,Psittacus erithacus,live,,BY,3
II,Psittacus erithacus,live,,CA,31
II,Psittacus erithacus,live,,CD,15986
II,Psittacus erithacus,live,,CF,2900
II,Psittacus erithacus,live,,CG,8773
II,Psittacus erithacus,live,,CH,15
II,Psittacus erithacus,live,,CI,2607
II,Psittacus erithacus,live,,CM,17053
II,Psittacus erithacus,live,,CR,53
II,Psittacus erithacus,live,,CS,3
II,Psittacus erithacus,live,,CU,6
II,Psittacus erithacus,live,,DE,19
II,Psittacus erithacus,live,,DK,1
II,Psittacus erithacus,live,,DZ,1
II,Psittacus erithacus,live,,EG,9
II,Psittacus erithacus,live,,ES,141
II,Psittacus erithacus,live,,FR,31
II,Psittacus erithacus,live,,GA,54
II,Psittacus erithacus,live,,GB,37
II,Psittacus erithacus,live,,GG,7
II,Psittacus erithacus,live,,GH,3
II,Psittacus erithacus,live,,GN,2735
II,Psittacus erithacus,live,,GQ,272
II,Psittacus erithacus,live,,GT,1
II,Psittacus erithacus,live,,HK,1
II,Psittacus erithacus,live,,HN,1
II,Psittacus erithacus,live,,HR,1
II,Psittacus erithacus,live,,HU,1
II,Psittacus erithacus,live,,IL,20
II,Psittacus erithacus,live,,IN,1
II,Psittacus erithacus,live,,IR,1
II,Psittacus erithacus,live,,IT,103
II,Psittacus erithacus,live,,JE,4
II,Psittacus erithacus,live,,JO,815
II,Psittacus erithacus,live,,KE,4
II,Psittacus erithacus,live,,KW,86
II,Psittacus erithacus,live,,KY,1
II,Psittacus erithacus,live,,LB,216
II,Psittacus erithacus,live,,LC,1
II,Psittacus erithacus,live,,LR,1422
II,Psittacus erithacus,live,,LV,1
II,Psittacus erithacus,live,,LY,2
II,Psittacus erithacus,live,,MA,7
II,Psittacus erithacus,live,,MG,1
II,Psittacus erithacus,live,,MM,1
II,Psittacus erithacus,live,,MX,4
II,Psittacus erithacus,live,,MZ,17
II,Psittacus erithacus,live,,NA,304
II,Psittacus erithacus,live,,NE,4
II,Psittacus erithacus,live,,NG,400
II,Psittacus erithacus,live,,NL,638
II,Psittacus erithacus,live,,NO,1
II,Psittacus erithacus,live,,PH,552
II,Psittacus erithacus,live,,PK,31
II,Psittacus erithacus,live,,PL,1
II,Psittacus erithacus,live,,PT,36
II,Psittacus erithacus,live,,QA,15
II,Psittacus erithacus,live,,RU,2
II,Psittacus erithacus,live,,SA,2
II,Psittacus erithacus,live,,SD,48
II,Psittacus erithacus,live,,SE,9
II,Psittacus erithacus,live,,SG,5052
II,Psittacus erithacus,live,,SL,650
II,Psittacus erithacus,live,,SN,132
II,Psittacus erithacus,live,,SY,66
II,Psittacus erithacus,live,,SZ,1
II,Psittacus erithacus,live,,TG,4
II,Psittacus erithacus,live,,TR,5
II,Psittacus erithacus,live,,UG,11
II,Psittacus erithacus,live,,US,153
II,Psittacus erithacus,live,,VE,1
II,Psittacus erithacus,live,,XX,202
II,Psittacus erithacus,live,,YE,1
II,Psittacus erithacus,live,,ZA,8691
II,Psittacus erithacus,live,,ZM,3
II,Psittacus erithacus,live,,ZW,2
II,Psittacus erithacus,skins,,ZA,1
II,Psittacus erithacus,skulls,,NL,1
II,Psittacus erithacus,skulls,,ZA,1
II,Psittacus erithacus,specimens,ml,JP,1
II,Psittacus erithacus timneh,live,,BE,2
II,Psittacus erithacus timneh,live,,BH,10
II,Psittacus erithacus timneh,live,,CA,3
II,Psittacus erithacus timneh,live,,CI,2151
II,Psittacus erithacus timneh,live,,FR,2
II,Psittacus erithacus timneh,live,,GG,1
II,Psittacus erithacus timneh,live,,GN,201
II,Psittacus erithacus timneh,live,,JE,1
II,Psittacus erithacus timneh,live,,KW,4
II,Psittacus erithacus timneh,live,,KY,2
II,Psittacus erithacus timneh,live,,LR,30
II,Psittacus erithacus timneh,live,,MX,1
II,Psittacus erithacus timneh,live,,NO,1
II,Psittacus erithacus timneh,live,,SG,128
II,Psittacus erithacus timneh,live,,SL,1100
II,Psittacus erithacus timneh,live,,SN,100
II,Psittacus erithacus timneh,live,,US,11
II,Psittacus erithacus timneh,live,,ZA,26
