Country,2014
BE,14
FR,13
UA,4
BB,11
DO,1
SG,2041
DE,16
BH,263
BI,1
BJ,80
HU,4
ZA,76526
BW,2
DZ,3
BR,1
BS,1
JE,1
BY,3
QA,1389
RW,1
LB,6176
PT,189
MT,2
NA,10
TR,158
NG,300
SK,18
LT,1
LR,1
ES,132
TH,16
NL,396
TG,202
PH,443
EG,2
PL,1
LY,1
CH,14
AE,864
CN,2
CM,2102
RU,2
EE,1
CA,68
CG,850
CF,4
AO,3
CD,14098
GG,11
CZ,3
XX,2
IM,1
IL,5
GA,7
CR,3
GM,1
ZW,1
CW,1
ID,170
CU,1
GH,1
SZ,2
OM,17059
SY,390
MA,2
SM,1
UZ,180
ML,5590
RS,3
US,76
MU,1
KR,2
JO,2635
KW,245
GN,350
IT,4
MZ,2
MY,2
MX,1
SE,3
GB,14
