App.,Taxon,Term,Unit,Country,2007
II,Psittacus erithacus,bodies,,CH,1
II,Psittacus erithacus,feathers,,DE,2
II,Psittacus erithacus,live,,AE,15
II,Psittacus erithacus,live,,AG,2
II,Psittacus erithacus,live,,AN,1
II,Psittacus erithacus,live,,AO,4
II,Psittacus erithacus,live,,BA,2
II,Psittacus erithacus,live,,BE,3
II,Psittacus erithacus,live,,BF,1
II,Psittacus erithacus,live,,BH,1
II,Psittacus erithacus,live,,BJ,1
II,Psittacus erithacus,live,,BM,1
II,Psittacus erithacus,live,,BS,3
II,Psittacus erithacus,live,,BY,4
II,Psittacus erithacus,live,,CA,49
II,Psittacus erithacus,live,,CD,4976
II,Psittacus erithacus,live,,CF,2732
II,Psittacus erithacus,live,,CG,273
II,Psittacus erithacus,live,,CH,15
II,Psittacus erithacus,live,,CI,3
II,Psittacus erithacus,live,,CM,4715
II,Psittacus erithacus,live,,CR,4
II,Psittacus erithacus,live,,CU,4
II,Psittacus erithacus,live,,CV,1
II,Psittacus erithacus,live,,CZ,4
II,Psittacus erithacus,live,,DE,13
II,Psittacus erithacus,live,,DK,3
II,Psittacus erithacus,live,,DO,1
II,Psittacus erithacus,live,,EG,1
II,Psittacus erithacus,live,,ES,14
II,Psittacus erithacus,live,,FR,18
II,Psittacus erithacus,live,,GA,10
II,Psittacus erithacus,live,,GB,10
II,Psittacus erithacus,live,,GG,2
II,Psittacus erithacus,live,,GH,1
II,Psittacus erithacus,live,,GN,210
II,Psittacus erithacus,live,,GQ,2
II,Psittacus erithacus,live,,GW,2
II,Psittacus erithacus,live,,HK,1
II,Psittacus erithacus,live,,HU,2
II,Psittacus erithacus,live,,IE,2
II,Psittacus erithacus,live,,IL,6
II,Psittacus erithacus,live,,IN,1
II,Psittacus erithacus,live,,IR,2
II,Psittacus erithacus,live,,IT,3
II,Psittacus erithacus,live,,JE,1
II,Psittacus erithacus,live,,JO,3
II,Psittacus erithacus,live,,JP,1
II,Psittacus erithacus,live,,KE,2
II,Psittacus erithacus,live,,KR,2
II,Psittacus erithacus,live,,KW,7
II,Psittacus erithacus,live,,KZ,2
II,Psittacus erithacus,live,,LB,1
II,Psittacus erithacus,live,,LV,1
II,Psittacus erithacus,live,,LY,1
II,Psittacus erithacus,live,,MA,1
II,Psittacus erithacus,live,,ML,1
II,Psittacus erithacus,live,,MX,12
II,Psittacus erithacus,live,,NA,1
II,Psittacus erithacus,live,,NL,7
II,Psittacus erithacus,live,,NO,2
II,Psittacus erithacus,live,,PH,279
II,Psittacus erithacus,live,,PK,1
II,Psittacus erithacus,live,,PT,21
II,Psittacus erithacus,live,,RU,4
II,Psittacus erithacus,live,,SA,2
II,Psittacus erithacus,live,,SE,6
II,Psittacus erithacus,live,,SG,4045
II,Psittacus erithacus,live,,SN,4
II,Psittacus erithacus,live,,SY,2
II,Psittacus erithacus,live,,TD,3
II,Psittacus erithacus,live,,TG,26
II,Psittacus erithacus,live,,TR,2
II,Psittacus erithacus,live,,TW,288
II,Psittacus erithacus,live,,TZ,2
II,Psittacus erithacus,live,,UG,1
II,Psittacus erithacus,live,,US,126
II,Psittacus erithacus,live,,UZ,311
II,Psittacus erithacus,live,,XX,1
II,Psittacus erithacus,live,,ZA,9086
II,Psittacus erithacus,live,,ZM,1
II,Psittacus erithacus,live,,ZW,31
II,Psittacus erithacus,skins,,SD,1
II,Psittacus erithacus,specimens,,AU,23
II,Psittacus erithacus,unspecified,,US,1
II,Psittacus erithacus timneh,live,,AE,2
II,Psittacus erithacus timneh,live,,CI,3
II,Psittacus erithacus timneh,live,,GB,1
II,Psittacus erithacus timneh,live,,GN,20
II,Psittacus erithacus timneh,live,,IT,1
II,Psittacus erithacus timneh,live,,KY,1
II,Psittacus erithacus timneh,live,,SE,1
II,Psittacus erithacus timneh,live,,SG,10
II,Psittacus erithacus timneh,live,,US,3
II,Psittacus erithacus timneh,live,,ZA,14
