App.,Taxon,Term,Unit,Country,2015
II,Psittacus erithacus,derivatives,,CH,4
II,Psittacus erithacus,eggs (live),,TW,6
II,Psittacus erithacus,feathers,,BE,2
II,Psittacus erithacus,feathers,,CH,3
II,Psittacus erithacus,feathers,,FR,4
II,Psittacus erithacus,feathers,,HK,3
II,Psittacus erithacus,feathers,,NG,31
II,Psittacus erithacus,live,,AE,271
II,Psittacus erithacus,live,,AM,3
II,Psittacus erithacus,live,,AO,2
II,Psittacus erithacus,live,,AT,1
II,Psittacus erithacus,live,,AW,2
II,Psittacus erithacus,live,,AZ,1
II,Psittacus erithacus,live,,BB,18
II,Psittacus erithacus,live,,BE,11
II,Psittacus erithacus,live,,BG,4
II,Psittacus erithacus,live,,BH,209
II,Psittacus erithacus,live,,BM,1
II,Psittacus erithacus,live,,BR,1
II,Psittacus erithacus,live,,BY,2
II,Psittacus erithacus,live,,CA,42
II,Psittacus erithacus,live,,CD,7851
II,Psittacus erithacus,live,,CF,4
II,Psittacus erithacus,live,,CH,6
II,Psittacus erithacus,live,,CM,1800
II,Psittacus erithacus,live,,CZ,2
II,Psittacus erithacus,live,,DE,14
II,Psittacus erithacus,live,,DK,2
II,Psittacus erithacus,live,,DZ,3
II,Psittacus erithacus,live,,EC,1
II,Psittacus erithacus,live,,ES,60
II,Psittacus erithacus,live,,FR,22
II,Psittacus erithacus,live,,GA,1
II,Psittacus erithacus,live,,GB,13
II,Psittacus erithacus,live,,GE,1
II,Psittacus erithacus,live,,GG,1
II,Psittacus erithacus,live,,GQ,2
II,Psittacus erithacus,live,,HK,1
II,Psittacus erithacus,live,,HU,1
II,Psittacus erithacus,live,,ID,97
II,Psittacus erithacus,live,,IL,1
II,Psittacus erithacus,live,,IQ,1
II,Psittacus erithacus,live,,IR,1
II,Psittacus erithacus,live,,IT,2
II,Psittacus erithacus,live,,JE,2
II,Psittacus erithacus,live,,JO,6501
II,Psittacus erithacus,live,,JP,1
II,Psittacus erithacus,live,,KE,1
II,Psittacus erithacus,live,,KW,714
II,Psittacus erithacus,live,,LB,915
II,Psittacus erithacus,live,,LV,1
II,Psittacus erithacus,live,,MA,1
II,Psittacus erithacus,live,,MG,1
II,Psittacus erithacus,live,,ML,4200
II,Psittacus erithacus,live,,MY,5
II,Psittacus erithacus,live,,MZ,722
II,Psittacus erithacus,live,,NA,6
II,Psittacus erithacus,live,,NE,4
II,Psittacus erithacus,live,,NG,10
II,Psittacus erithacus,live,,NL,79
II,Psittacus erithacus,live,,NO,1
II,Psittacus erithacus,live,,NZ,2
II,Psittacus erithacus,live,,OM,3832
II,Psittacus erithacus,live,,PH,440
II,Psittacus erithacus,live,,PK,5
II,Psittacus erithacus,live,,PT,84
II,Psittacus erithacus,live,,QA,618
II,Psittacus erithacus,live,,RO,1
II,Psittacus erithacus,live,,SA,15
II,Psittacus erithacus,live,,SE,5
II,Psittacus erithacus,live,,SG,3094
II,Psittacus erithacus,live,,SN,1
II,Psittacus erithacus,live,,SY,742
II,Psittacus erithacus,live,,TD,1
II,Psittacus erithacus,live,,TG,15
II,Psittacus erithacus,live,,TH,28
II,Psittacus erithacus,live,,TR,55
II,Psittacus erithacus,live,,TZ,1
II,Psittacus erithacus,live,,UA,2
II,Psittacus erithacus,live,,US,52
II,Psittacus erithacus,live,,UZ,4
II,Psittacus erithacus,live,,VG,1
II,Psittacus erithacus,live,,XX,54
II,Psittacus erithacus,live,,ZA,53125
II,Psittacus erithacus,live,,ZM,1
II,Psittacus erithacus,live,,ZW,1
II,Psittacus erithacus,specimens,,CM,1
II,Psittacus erithacus,specimens,,GA,1
II,Psittacus erithacus,specimens,,GB,3
II,Psittacus erithacus,trophies,,ZA,3
II,Psittacus erithacus timneh,feathers,,BE,20
II,Psittacus erithacus timneh,live,,AE,1
II,Psittacus erithacus timneh,live,,BB,15
II,Psittacus erithacus timneh,live,,CA,3
II,Psittacus erithacus timneh,live,,DE,1
II,Psittacus erithacus timneh,live,,ES,12
II,Psittacus erithacus timneh,live,,KW,15
II,Psittacus erithacus timneh,live,,LB,215
II,Psittacus erithacus timneh,live,,ML,750
II,Psittacus erithacus timneh,live,,PA,1
II,Psittacus erithacus timneh,live,,PT,8
II,Psittacus erithacus timneh,live,,US,3
II,Psittacus erithacus timneh,live,,ZA,278
