Country,2004
BE,156
BF,1
BO,1
BH,581
FR,21
BJ,3
BW,7
BR,2
BS,3
FI,1
BZ,1
RU,2
ZW,8
NL,945
NO,2
NA,238
NC,2
NE,3
NG,4
GI,1
CI,6551
CH,15
GR,1
GQ,487
JP,5
CA,36
CG,7092
CF,3
BI,1
GG,6
CZ,5
CY,3
GB,82
GA,60
TG,11
CS,2
CR,1
TD,161
CU,3
SY,10
KE,7
SR,2
SI,1
JO,625
KW,73
SN,208
GN,3185
SL,1750
KY,2
SG,1930
SE,17
SD,2
DK,2
DE,79
HU,11
HK,1
DZ,6
JE,5
CN,120
QA,4
LB,625
CM,17465
PT,218
TT,1
TR,4
LV,1
AI,1
LT,1
LR,1025
TH,2
PK,10
PH,586
PL,3
LY,1
ZM,4
AE,15
EE,1
EG,13
IR,2
IT,4
AO,7
ZA,10867
AR,1
AT,6
TZ,52
CD,19028
SA,11
ES,92
MG,3
MA,3
UA,1
XX,29
US,138
MU,1
UG,6
MZ,1
MY,215
MX,7
IL,5
