App.,Taxon,Term,Unit,Country,2013
II,Psittacus erithacus,bodies,,MZ,1
II,Psittacus erithacus,carvings,,FR,1
II,Psittacus erithacus,carvings,,US,1
II,Psittacus erithacus,feathers,g,US,2
II,Psittacus erithacus,feathers,,CA,35
II,Psittacus erithacus,feathers,,CL,1
II,Psittacus erithacus,feathers,,DE,1
II,Psittacus erithacus,leather products (small),,MY,50
II,Psittacus erithacus,live,,AE,828
II,Psittacus erithacus,live,,AM,2
II,Psittacus erithacus,live,,AO,1
II,Psittacus erithacus,live,,AR,1
II,Psittacus erithacus,live,,AU,1
II,Psittacus erithacus,live,,BB,2
II,Psittacus erithacus,live,,BE,207
II,Psittacus erithacus,live,,BG,40
II,Psittacus erithacus,live,,BH,5077
II,Psittacus erithacus,live,,BI,1
II,Psittacus erithacus,live,,BR,1
II,Psittacus erithacus,live,,BS,1
II,Psittacus erithacus,live,,BT,1
II,Psittacus erithacus,live,,BW,4
II,Psittacus erithacus,live,,CA,64
II,Psittacus erithacus,live,,CD,8369
II,Psittacus erithacus,live,,CF,3
II,Psittacus erithacus,live,,CG,6900
II,Psittacus erithacus,live,,CH,17
II,Psittacus erithacus,live,,CI,2
II,Psittacus erithacus,live,,CM,1000
II,Psittacus erithacus,live,,CN,1
II,Psittacus erithacus,live,,CW,2
II,Psittacus erithacus,live,,CY,1
II,Psittacus erithacus,live,,CZ,4
II,Psittacus erithacus,live,,DE,21
II,Psittacus erithacus,live,,DK,2
II,Psittacus erithacus,live,,DZ,5
II,Psittacus erithacus,live,,EC,1
II,Psittacus erithacus,live,,EG,2
II,Psittacus erithacus,live,,ES,140
II,Psittacus erithacus,live,,FI,1
II,Psittacus erithacus,live,,FR,7
II,Psittacus erithacus,live,,GA,13
II,Psittacus erithacus,live,,GB,19
II,Psittacus erithacus,live,,GN,400
II,Psittacus erithacus,live,,HK,3
II,Psittacus erithacus,live,,HU,1
II,Psittacus erithacus,live,,ID,441
II,Psittacus erithacus,live,,IE,1
II,Psittacus erithacus,live,,IL,1
II,Psittacus erithacus,live,,IR,1
II,Psittacus erithacus,live,,IT,6
II,Psittacus erithacus,live,,JE,4
II,Psittacus erithacus,live,,JM,1
II,Psittacus erithacus,live,,JO,3435
II,Psittacus erithacus,live,,KE,2
II,Psittacus erithacus,live,,KR,1
II,Psittacus erithacus,live,,KW,281
II,Psittacus erithacus,live,,LB,1740
II,Psittacus erithacus,live,,LY,1
II,Psittacus erithacus,live,,MA,2
II,Psittacus erithacus,live,,ML,913
II,Psittacus erithacus,live,,MX,3
II,Psittacus erithacus,live,,MY,2793
II,Psittacus erithacus,live,,MZ,4
II,Psittacus erithacus,live,,NA,2
II,Psittacus erithacus,live,,NE,7
II,Psittacus erithacus,live,,NG,14000
II,Psittacus erithacus,live,,NL,99
II,Psittacus erithacus,live,,NO,1
II,Psittacus erithacus,live,,NZ,1
II,Psittacus erithacus,live,,OM,8556
II,Psittacus erithacus,live,,PA,1
II,Psittacus erithacus,live,,PH,460
II,Psittacus erithacus,live,,PT,72
II,Psittacus erithacus,live,,QA,3699
II,Psittacus erithacus,live,,RU,3
II,Psittacus erithacus,live,,RW,1
II,Psittacus erithacus,live,,SA,5
II,Psittacus erithacus,live,,SD,2
II,Psittacus erithacus,live,,SG,1915
II,Psittacus erithacus,live,,SI,1
II,Psittacus erithacus,live,,SK,5
II,Psittacus erithacus,live,,SN,4
II,Psittacus erithacus,live,,SR,1
II,Psittacus erithacus,live,,SY,12
II,Psittacus erithacus,live,,TG,43
II,Psittacus erithacus,live,,TH,60
II,Psittacus erithacus,live,,TN,1
II,Psittacus erithacus,live,,TR,329
II,Psittacus erithacus,live,,TW,5
II,Psittacus erithacus,live,,TZ,1
II,Psittacus erithacus,live,,UA,1
II,Psittacus erithacus,live,,UG,3
II,Psittacus erithacus,live,,US,95
II,Psittacus erithacus,live,,UZ,665
II,Psittacus erithacus,live,,XX,34
II,Psittacus erithacus,live,,YE,1
II,Psittacus erithacus,live,,ZA,49263
II,Psittacus erithacus,live,,ZM,1
II,Psittacus erithacus,specimens,,PH,1
II,Psittacus erithacus,trophies,,ZA,1
II,Psittacus erithacus timneh,feathers,,NG,1
II,Psittacus erithacus timneh,live,,CA,2
II,Psittacus erithacus timneh,live,,CG,200
II,Psittacus erithacus timneh,live,,DO,1
II,Psittacus erithacus timneh,live,,EG,1
II,Psittacus erithacus timneh,live,,FR,1
II,Psittacus erithacus timneh,live,,IT,1
II,Psittacus erithacus timneh,live,,ML,530
II,Psittacus erithacus timneh,live,,NL,2
II,Psittacus erithacus timneh,live,,PH,2
II,Psittacus erithacus timneh,live,,SL,28
II,Psittacus erithacus timneh,live,,US,6
II,Psittacus erithacus timneh,live,,ZA,50
