App.,Taxon,Term,Unit,Country,2014
II,Psittacus erithacus,bodies,,ZA,1
II,Psittacus erithacus,feathers,g,FR,2
II,Psittacus erithacus,feathers,,US,50
II,Psittacus erithacus,live,,AE,864
II,Psittacus erithacus,live,,AO,3
II,Psittacus erithacus,live,,BB,11
II,Psittacus erithacus,live,,BE,14
II,Psittacus erithacus,live,,BH,262
II,Psittacus erithacus,live,,BI,1
II,Psittacus erithacus,live,,BJ,80
II,Psittacus erithacus,live,,BR,1
II,Psittacus erithacus,live,,BS,1
II,Psittacus erithacus,live,,BW,2
II,Psittacus erithacus,live,,BY,3
II,Psittacus erithacus,live,,CA,67
II,Psittacus erithacus,live,,CD,14098
II,Psittacus erithacus,live,,CF,4
II,Psittacus erithacus,live,,CG,850
II,Psittacus erithacus,live,,CH,14
II,Psittacus erithacus,live,,CM,2102
II,Psittacus erithacus,live,,CN,2
II,Psittacus erithacus,live,,CR,2
II,Psittacus erithacus,live,,CU,1
II,Psittacus erithacus,live,,CW,1
II,Psittacus erithacus,live,,CZ,3
II,Psittacus erithacus,live,,DE,16
II,Psittacus erithacus,live,,DO,1
II,Psittacus erithacus,live,,DZ,3
II,Psittacus erithacus,live,,EE,1
II,Psittacus erithacus,live,,EG,2
II,Psittacus erithacus,live,,ES,131
II,Psittacus erithacus,live,,FR,12
II,Psittacus erithacus,live,,GA,7
II,Psittacus erithacus,live,,GB,12
II,Psittacus erithacus,live,,GG,11
II,Psittacus erithacus,live,,GH,1
II,Psittacus erithacus,live,,GM,1
II,Psittacus erithacus,live,,GN,350
II,Psittacus erithacus,live,,HU,4
II,Psittacus erithacus,live,,ID,170
II,Psittacus erithacus,live,,IL,5
II,Psittacus erithacus,live,,IM,1
II,Psittacus erithacus,live,,IT,4
II,Psittacus erithacus,live,,JE,1
II,Psittacus erithacus,live,,JO,2635
II,Psittacus erithacus,live,,KR,2
II,Psittacus erithacus,live,,KW,245
II,Psittacus erithacus,live,,LB,5676
II,Psittacus erithacus,live,,LR,1
II,Psittacus erithacus,live,,LT,1
II,Psittacus erithacus,live,,LY,1
II,Psittacus erithacus,live,,MA,2
II,Psittacus erithacus,live,,ML,4600
II,Psittacus erithacus,live,,MT,2
II,Psittacus erithacus,live,,MU,1
II,Psittacus erithacus,live,,MX,1
II,Psittacus erithacus,live,,MY,2
II,Psittacus erithacus,live,,MZ,2
II,Psittacus erithacus,live,,NA,10
II,Psittacus erithacus,live,,NG,300
II,Psittacus erithacus,live,,NL,396
II,Psittacus erithacus,live,,OM,17059
II,Psittacus erithacus,live,,PH,443
II,Psittacus erithacus,live,,PT,189
II,Psittacus erithacus,live,,QA,1389
II,Psittacus erithacus,live,,RS,3
II,Psittacus erithacus,live,,RU,2
II,Psittacus erithacus,live,,RW,1
II,Psittacus erithacus,live,,SE,3
II,Psittacus erithacus,live,,SG,2041
II,Psittacus erithacus,live,,SK,18
II,Psittacus erithacus,live,,SM,1
II,Psittacus erithacus,live,,SY,390
II,Psittacus erithacus,live,,SZ,2
II,Psittacus erithacus,live,,TG,202
II,Psittacus erithacus,live,,TH,16
II,Psittacus erithacus,live,,TR,128
II,Psittacus erithacus,live,,UA,4
II,Psittacus erithacus,live,,US,69
II,Psittacus erithacus,live,,UZ,180
II,Psittacus erithacus,live,,XX,2
II,Psittacus erithacus,live,,ZA,76456
II,Psittacus erithacus,live,,ZW,1
II,Psittacus erithacus,skin pieces,,US,7
II,Psittacus erithacus,specimens,,US,27
II,Psittacus erithacus timneh,live,,BH,1
II,Psittacus erithacus timneh,live,,CA,1
II,Psittacus erithacus timneh,live,,CR,1
II,Psittacus erithacus timneh,live,,ES,1
II,Psittacus erithacus timneh,live,,FR,1
II,Psittacus erithacus timneh,live,,GB,2
II,Psittacus erithacus timneh,live,,LB,500
II,Psittacus erithacus timneh,live,,ML,990
II,Psittacus erithacus timneh,live,,PL,1
II,Psittacus erithacus timneh,live,,TR,30
II,Psittacus erithacus timneh,live,,US,7
II,Psittacus erithacus timneh,live,,ZA,70
II,Psittacus erithacus timneh,specimens,,US,3
