App.,Taxon,Term,Unit,Country,2004
II,Psittacus erithacus,bodies,,CF,1
II,Psittacus erithacus,feathers,,DK,2
II,Psittacus erithacus,live,,AE,15
II,Psittacus erithacus,live,,AO,7
II,Psittacus erithacus,live,,AR,1
II,Psittacus erithacus,live,,AT,6
II,Psittacus erithacus,live,,BE,153
II,Psittacus erithacus,live,,BF,1
II,Psittacus erithacus,live,,BH,581
II,Psittacus erithacus,live,,BI,1
II,Psittacus erithacus,live,,BJ,3
II,Psittacus erithacus,live,,BR,1
II,Psittacus erithacus,live,,BS,3
II,Psittacus erithacus,live,,BW,7
II,Psittacus erithacus,live,,BZ,1
II,Psittacus erithacus,live,,CA,33
II,Psittacus erithacus,live,,CD,19028
II,Psittacus erithacus,live,,CF,3
II,Psittacus erithacus,live,,CG,7092
II,Psittacus erithacus,live,,CH,15
II,Psittacus erithacus,live,,CI,3911
II,Psittacus erithacus,live,,CM,17465
II,Psittacus erithacus,live,,CR,1
II,Psittacus erithacus,live,,CS,2
II,Psittacus erithacus,live,,CU,3
II,Psittacus erithacus,live,,CY,3
II,Psittacus erithacus,live,,CZ,5
II,Psittacus erithacus,live,,DE,79
II,Psittacus erithacus,live,,DK,2
II,Psittacus erithacus,live,,DZ,2
II,Psittacus erithacus,live,,EE,1
II,Psittacus erithacus,live,,EG,10
II,Psittacus erithacus,live,,ES,86
II,Psittacus erithacus,live,,FI,1
II,Psittacus erithacus,live,,FR,20
II,Psittacus erithacus,live,,GA,60
II,Psittacus erithacus,live,,GB,80
II,Psittacus erithacus,live,,GG,5
II,Psittacus erithacus,live,,GN,2335
II,Psittacus erithacus,live,,GQ,487
II,Psittacus erithacus,live,,GR,1
II,Psittacus erithacus,live,,HK,1
II,Psittacus erithacus,live,,HU,11
II,Psittacus erithacus,live,,IL,5
II,Psittacus erithacus,live,,IR,2
II,Psittacus erithacus,live,,IT,4
II,Psittacus erithacus,live,,JE,5
II,Psittacus erithacus,live,,JO,625
II,Psittacus erithacus,live,,JP,5
II,Psittacus erithacus,live,,KE,7
II,Psittacus erithacus,live,,KW,58
II,Psittacus erithacus,live,,KY,1
II,Psittacus erithacus,live,,LB,625
II,Psittacus erithacus,live,,LR,575
II,Psittacus erithacus,live,,LT,1
II,Psittacus erithacus,live,,LV,1
II,Psittacus erithacus,live,,LY,1
II,Psittacus erithacus,live,,MA,3
II,Psittacus erithacus,live,,MG,3
II,Psittacus erithacus,live,,MU,1
II,Psittacus erithacus,live,,MX,6
II,Psittacus erithacus,live,,MY,135
II,Psittacus erithacus,live,,MZ,1
II,Psittacus erithacus,live,,NA,238
II,Psittacus erithacus,live,,NC,2
II,Psittacus erithacus,live,,NE,3
II,Psittacus erithacus,live,,NG,4
II,Psittacus erithacus,live,,NL,935
II,Psittacus erithacus,live,,NO,2
II,Psittacus erithacus,live,,PH,586
II,Psittacus erithacus,live,,PK,10
II,Psittacus erithacus,live,,PL,3
II,Psittacus erithacus,live,,PT,217
II,Psittacus erithacus,live,,QA,4
II,Psittacus erithacus,live,,RU,2
II,Psittacus erithacus,live,,SA,11
II,Psittacus erithacus,live,,SD,2
II,Psittacus erithacus,live,,SE,17
II,Psittacus erithacus,live,,SG,1913
II,Psittacus erithacus,live,,SI,1
II,Psittacus erithacus,live,,SN,206
II,Psittacus erithacus,live,,SR,2
II,Psittacus erithacus,live,,SY,10
II,Psittacus erithacus,live,,TD,161
II,Psittacus erithacus,live,,TG,11
II,Psittacus erithacus,live,,TH,2
II,Psittacus erithacus,live,,TR,4
II,Psittacus erithacus,live,,TT,1
II,Psittacus erithacus,live,,TZ,52
II,Psittacus erithacus,live,,UA,1
II,Psittacus erithacus,live,,UG,6
II,Psittacus erithacus,live,,US,134
II,Psittacus erithacus,live,,XX,29
II,Psittacus erithacus,live,,ZA,10199
II,Psittacus erithacus,live,,ZM,4
II,Psittacus erithacus,live,,ZW,8
II,Psittacus erithacus,skins,,DK,1
II,Psittacus erithacus,skulls,,ZA,2
II,Psittacus erithacus timneh,live,,AI,1
II,Psittacus erithacus timneh,live,,BE,3
II,Psittacus erithacus timneh,live,,BO,1
II,Psittacus erithacus timneh,live,,BR,1
II,Psittacus erithacus timneh,live,,CA,3
II,Psittacus erithacus timneh,live,,CI,2640
II,Psittacus erithacus timneh,live,,CN,120
II,Psittacus erithacus timneh,live,,DZ,4
II,Psittacus erithacus timneh,live,,EG,3
II,Psittacus erithacus timneh,live,,ES,6
II,Psittacus erithacus timneh,live,,FR,1
II,Psittacus erithacus timneh,live,,GB,2
II,Psittacus erithacus timneh,live,,GG,1
II,Psittacus erithacus timneh,live,,GI,1
II,Psittacus erithacus timneh,live,,GN,850
II,Psittacus erithacus timneh,live,,KW,15
II,Psittacus erithacus timneh,live,,KY,1
II,Psittacus erithacus timneh,live,,LR,450
II,Psittacus erithacus timneh,live,,MX,1
II,Psittacus erithacus timneh,live,,MY,80
II,Psittacus erithacus timneh,live,,NL,10
II,Psittacus erithacus timneh,live,,PT,1
II,Psittacus erithacus timneh,live,,SG,17
II,Psittacus erithacus timneh,live,,SL,1750
II,Psittacus erithacus timneh,live,,SN,2
II,Psittacus erithacus timneh,live,,US,4
II,Psittacus erithacus timneh,live,,ZA,668
