Country,2002
BE,262
BF,1
BG,1
FR,179
BO,3
BH,16
BI,6
BJ,6
JM,1
ZA,10896
BW,1
BS,8
JE,1
RU,5
ZW,23
NL,1421
NO,5
NA,50
NE,1
NG,13
RO,2
XX,140
GW,4
CI,3736
CH,13
GR,1
GQ,8
CA,44
CG,8205
CF,10
GY,3
CD,5867
GG,32
CZ,51
CY,3
GB,489
GA,33
TG,6
CR,2
TD,4
GI,1
GH,1
KE,10
KN,1
SK,2
JO,185
KW,1
SN,3
GN,803
SL,200
SA,5
SG,440
SE,6
SD,40
DK,4
DE,76
HU,7
HK,2
US,214
YU,106
CN,104
CM,16405
PT,45
TW,11
TT,1
TR,2
LK,3
LU,1
LR,420
TK,1
TH,143
PE,1
PK,55
PH,356
PL,2
LY,7
AE,17
VE,6
EG,11
IR,4
IT,1
AO,10
AN,1
AR,1
IM,1
AT,4
IN,5
ET,2
AZ,1
IE,2
ID,400
ES,126
KY,1
MG,1
MA,10
MC,1
UA,1
GE,2
MK,5
MT,4
UG,39
MZ,1
MY,461
MX,4
IL,5
