App.,Taxon,Term,Unit,Country,2003
II,Psittacus erithacus,bodies,,FR,1
II,Psittacus erithacus,bodies,,MC,1
II,Psittacus erithacus,live,,AE,32
II,Psittacus erithacus,live,,AN,1
II,Psittacus erithacus,live,,AO,9
II,Psittacus erithacus,live,,AT,2
II,Psittacus erithacus,live,,AW,1
II,Psittacus erithacus,live,,BE,185
II,Psittacus erithacus,live,,BF,3
II,Psittacus erithacus,live,,BG,1
II,Psittacus erithacus,live,,BH,31
II,Psittacus erithacus,live,,BI,13
II,Psittacus erithacus,live,,BW,1
II,Psittacus erithacus,live,,CA,51
II,Psittacus erithacus,live,,CD,15326
II,Psittacus erithacus,live,,CF,7
II,Psittacus erithacus,live,,CG,9243
II,Psittacus erithacus,live,,CH,17
II,Psittacus erithacus,live,,CI,4789
II,Psittacus erithacus,live,,CM,11113
II,Psittacus erithacus,live,,CN,1
II,Psittacus erithacus,live,,CR,3
II,Psittacus erithacus,live,,CS,4
II,Psittacus erithacus,live,,CU,2
II,Psittacus erithacus,live,,CY,1
II,Psittacus erithacus,live,,CZ,15
II,Psittacus erithacus,live,,DE,25
II,Psittacus erithacus,live,,DJ,1
II,Psittacus erithacus,live,,DK,15
II,Psittacus erithacus,live,,DZ,2
II,Psittacus erithacus,live,,EE,1
II,Psittacus erithacus,live,,EG,14
II,Psittacus erithacus,live,,ES,123
II,Psittacus erithacus,live,,ET,1
II,Psittacus erithacus,live,,FI,1
II,Psittacus erithacus,live,,FR,59
II,Psittacus erithacus,live,,GA,45
II,Psittacus erithacus,live,,GB,148
II,Psittacus erithacus,live,,GG,6
II,Psittacus erithacus,live,,GH,6
II,Psittacus erithacus,live,,GN,552
II,Psittacus erithacus,live,,GQ,736
II,Psittacus erithacus,live,,GR,2
II,Psittacus erithacus,live,,GW,2
II,Psittacus erithacus,live,,HK,3
II,Psittacus erithacus,live,,HU,2
II,Psittacus erithacus,live,,ID,1
II,Psittacus erithacus,live,,IL,5
II,Psittacus erithacus,live,,IR,2
II,Psittacus erithacus,live,,IT,21
II,Psittacus erithacus,live,,JE,4
II,Psittacus erithacus,live,,JO,272
II,Psittacus erithacus,live,,JP,5
II,Psittacus erithacus,live,,KE,2
II,Psittacus erithacus,live,,KG,1
II,Psittacus erithacus,live,,KW,55
II,Psittacus erithacus,live,,KY,1
II,Psittacus erithacus,live,,LB,60
II,Psittacus erithacus,live,,LY,1
II,Psittacus erithacus,live,,MA,3
II,Psittacus erithacus,live,,MG,6
II,Psittacus erithacus,live,,MT,2
II,Psittacus erithacus,live,,MW,3
II,Psittacus erithacus,live,,MX,9
II,Psittacus erithacus,live,,MY,530
II,Psittacus erithacus,live,,MZ,1
II,Psittacus erithacus,live,,NA,73
II,Psittacus erithacus,live,,NE,2
II,Psittacus erithacus,live,,NG,1
II,Psittacus erithacus,live,,NL,1361
II,Psittacus erithacus,live,,NO,7
II,Psittacus erithacus,live,,OM,1
II,Psittacus erithacus,live,,PA,2
II,Psittacus erithacus,live,,PE,1
II,Psittacus erithacus,live,,PH,416
II,Psittacus erithacus,live,,PK,449
II,Psittacus erithacus,live,,PT,23
II,Psittacus erithacus,live,,QA,4
II,Psittacus erithacus,live,,RO,1
II,Psittacus erithacus,live,,RU,6
II,Psittacus erithacus,live,,RW,2
II,Psittacus erithacus,live,,SA,15
II,Psittacus erithacus,live,,SD,2
II,Psittacus erithacus,live,,SE,9
II,Psittacus erithacus,live,,SG,1337
II,Psittacus erithacus,live,,SN,203
II,Psittacus erithacus,live,,SY,9
II,Psittacus erithacus,live,,SZ,2
II,Psittacus erithacus,live,,TD,71
II,Psittacus erithacus,live,,TG,7
II,Psittacus erithacus,live,,TH,373
II,Psittacus erithacus,live,,TJ,2
II,Psittacus erithacus,live,,TN,2
II,Psittacus erithacus,live,,TR,4
II,Psittacus erithacus,live,,TT,1
II,Psittacus erithacus,live,,TW,52
II,Psittacus erithacus,live,,UA,1
II,Psittacus erithacus,live,,UG,5
II,Psittacus erithacus,live,,US,215
II,Psittacus erithacus,live,,VE,2
II,Psittacus erithacus,live,,VG,2
II,Psittacus erithacus,live,,VN,2
II,Psittacus erithacus,live,,XX,4
II,Psittacus erithacus,live,,YU,3
II,Psittacus erithacus,live,,ZA,14880
II,Psittacus erithacus,live,,ZM,5
II,Psittacus erithacus,live,,ZW,32
II,Psittacus erithacus,specimens,,GQ,1
II,Psittacus erithacus timneh,live,,BE,4
II,Psittacus erithacus timneh,live,,CA,2
II,Psittacus erithacus timneh,live,,CI,2643
II,Psittacus erithacus timneh,live,,CY,1
II,Psittacus erithacus timneh,live,,EG,2
II,Psittacus erithacus timneh,live,,ES,1
II,Psittacus erithacus timneh,live,,FR,2
II,Psittacus erithacus timneh,live,,GB,2
II,Psittacus erithacus timneh,live,,GN,700
II,Psittacus erithacus timneh,live,,KW,6
II,Psittacus erithacus timneh,live,,MT,1
II,Psittacus erithacus timneh,live,,MY,8
II,Psittacus erithacus timneh,live,,NL,1
II,Psittacus erithacus timneh,live,,PT,2
II,Psittacus erithacus timneh,live,,SA,5
II,Psittacus erithacus timneh,live,,SG,182
II,Psittacus erithacus timneh,live,,SL,1900
II,Psittacus erithacus timneh,live,,SN,2
II,Psittacus erithacus timneh,live,,TH,8
II,Psittacus erithacus timneh,live,,US,2
II,Psittacus erithacus timneh,live,,XX,1
II,Psittacus erithacus timneh,live,,ZA,987
II,Psittacus erithacus timneh,live,,ZW,2
