App.,Taxon,Term,Unit,Country,2000
II,Psittacus erithacus,bodies,,JP,1
II,Psittacus erithacus,bones,,BW,1
II,Psittacus erithacus,feathers,,DK,1
II,Psittacus erithacus,feathers,,GB,124
II,Psittacus erithacus,live,,AE,14
II,Psittacus erithacus,live,,AG,2
II,Psittacus erithacus,live,,AM,3
II,Psittacus erithacus,live,,AT,6
II,Psittacus erithacus,live,,AW,2
II,Psittacus erithacus,live,,BB,1
II,Psittacus erithacus,live,,BE,320
II,Psittacus erithacus,live,,BI,1
II,Psittacus erithacus,live,,BJ,4
II,Psittacus erithacus,live,,BM,2
II,Psittacus erithacus,live,,BR,2
II,Psittacus erithacus,live,,BS,4
II,Psittacus erithacus,live,,CA,40
II,Psittacus erithacus,live,,CD,14292
II,Psittacus erithacus,live,,CF,21
II,Psittacus erithacus,live,,CG,2103
II,Psittacus erithacus,live,,CH,51
II,Psittacus erithacus,live,,CI,38
II,Psittacus erithacus,live,,CM,17532
II,Psittacus erithacus,live,,CN,1
II,Psittacus erithacus,live,,CR,1
II,Psittacus erithacus,live,,CV,1
II,Psittacus erithacus,live,,CY,2
II,Psittacus erithacus,live,,CZ,324
II,Psittacus erithacus,live,,DE,132
II,Psittacus erithacus,live,,DK,12
II,Psittacus erithacus,live,,DO,1
II,Psittacus erithacus,live,,EG,5
II,Psittacus erithacus,live,,ES,135
II,Psittacus erithacus,live,,FI,2
II,Psittacus erithacus,live,,FR,65
II,Psittacus erithacus,live,,GA,47
II,Psittacus erithacus,live,,GB,259
II,Psittacus erithacus,live,,GE,1
II,Psittacus erithacus,live,,GG,2
II,Psittacus erithacus,live,,GH,2
II,Psittacus erithacus,live,,GN,19
II,Psittacus erithacus,live,,GQ,5
II,Psittacus erithacus,live,,GR,53
II,Psittacus erithacus,live,,GT,1
II,Psittacus erithacus,live,,GW,1
II,Psittacus erithacus,live,,HK,2
II,Psittacus erithacus,live,,HU,3
II,Psittacus erithacus,live,,ID,1
II,Psittacus erithacus,live,,IE,1
II,Psittacus erithacus,live,,IL,6
II,Psittacus erithacus,live,,IM,2
II,Psittacus erithacus,live,,IN,1
II,Psittacus erithacus,live,,IR,3
II,Psittacus erithacus,live,,IT,3
II,Psittacus erithacus,live,,JE,1
II,Psittacus erithacus,live,,JM,2
II,Psittacus erithacus,live,,JO,2
II,Psittacus erithacus,live,,JP,3
II,Psittacus erithacus,live,,KE,48
II,Psittacus erithacus,live,,KR,5
II,Psittacus erithacus,live,,KW,3
II,Psittacus erithacus,live,,KY,2
II,Psittacus erithacus,live,,LB,2
II,Psittacus erithacus,live,,LC,2
II,Psittacus erithacus,live,,LY,4
II,Psittacus erithacus,live,,MR,2
II,Psittacus erithacus,live,,MT,1
II,Psittacus erithacus,live,,MX,3
II,Psittacus erithacus,live,,MY,6
II,Psittacus erithacus,live,,MZ,1
II,Psittacus erithacus,live,,NA,11
II,Psittacus erithacus,live,,NE,1
II,Psittacus erithacus,live,,NG,5
II,Psittacus erithacus,live,,NL,1972
II,Psittacus erithacus,live,,NO,6
II,Psittacus erithacus,live,,OM,2
II,Psittacus erithacus,live,,PA,1
II,Psittacus erithacus,live,,PH,417
II,Psittacus erithacus,live,,PL,2
II,Psittacus erithacus,live,,PT,3
II,Psittacus erithacus,live,,RO,1
II,Psittacus erithacus,live,,RU,7
II,Psittacus erithacus,live,,SA,19
II,Psittacus erithacus,live,,SD,4
II,Psittacus erithacus,live,,SE,148
II,Psittacus erithacus,live,,SG,139
II,Psittacus erithacus,live,,SN,4
II,Psittacus erithacus,live,,ST,40
II,Psittacus erithacus,live,,SY,4
II,Psittacus erithacus,live,,SZ,1
II,Psittacus erithacus,live,,TG,3
II,Psittacus erithacus,live,,TH,4
II,Psittacus erithacus,live,,TN,2
II,Psittacus erithacus,live,,TR,4
II,Psittacus erithacus,live,,TT,1
II,Psittacus erithacus,live,,UG,7
II,Psittacus erithacus,live,,US,215
II,Psittacus erithacus,live,,UZ,1
II,Psittacus erithacus,live,,VE,2
II,Psittacus erithacus,live,,VG,1
II,Psittacus erithacus,live,,XX,14
II,Psittacus erithacus,live,,ZA,4689
II,Psittacus erithacus,live,,ZM,2
II,Psittacus erithacus,live,,ZW,41
II,Psittacus erithacus,skeletons,,GB,1
II,Psittacus erithacus,specimens,ml,GB,44
II,Psittacus erithacus,specimens,,CA,1
II,Psittacus erithacus,specimens,,GB,38
II,Psittacus erithacus,specimens,,JP,3
II,Psittacus erithacus timneh,live,,BE,2
II,Psittacus erithacus timneh,live,,BF,1
II,Psittacus erithacus timneh,live,,CA,3
II,Psittacus erithacus timneh,live,,CH,21
II,Psittacus erithacus timneh,live,,CI,2676
II,Psittacus erithacus timneh,live,,DE,1
II,Psittacus erithacus timneh,live,,DK,2
II,Psittacus erithacus timneh,live,,ES,10
II,Psittacus erithacus timneh,live,,GB,34
II,Psittacus erithacus timneh,live,,GN,2656
II,Psittacus erithacus timneh,live,,KR,1
II,Psittacus erithacus timneh,live,,LR,2100
II,Psittacus erithacus timneh,live,,MA,1
II,Psittacus erithacus timneh,live,,NL,5
II,Psittacus erithacus timneh,live,,PT,2
II,Psittacus erithacus timneh,live,,SL,1108
II,Psittacus erithacus timneh,live,,US,22
II,Psittacus erithacus timneh,live,,ZA,1288
II,Psittacus erithacus timneh,live,,ZW,2
II,Psittacus erithacus timneh,specimens,ml,GB,4
II,Psittacus erithacus timneh,specimens,,GB,1
