id,population
AO,21
BF,2
BW,9
CD,70
CD,115.46
CF,23
CG,5
CH,1
CI,51
CI,2.7
CM,3.8
CM,7
GA,11
GB,2
GN,2
GQ,4
HK,10
KE,21
KE,2
LR,1
LY,1
MZ,38
NA,1
RW,1
SD,4
SL,1
SO,2
TD,58
ZA,5
ZM,4
ZW,1
