id,population
BY,1
CN,3
DE,3
ES,5
FR,13
GB,1
HU,2
ID,1
IN,1
RU,355
US,53
UZ,2
XX,1
XX,1
XX,2
XX,1
XX,1
XX,1
XX,5
XX,99
XX,3
,2
,2
,1
,6
,2
,2
,1
,1
,1
,1
,1
,2
,2
,6
,1
,1
,1
,2
,1
,1
,3
,1
,2
,1
,2
,1
,1
,2
,2
,2
,5
,1
,1
,1
,3
,1
,7
,2
,180
,5
,1
,127
,46
,1
,371
,1
,5
,1
,4
,12
,1
,1
,1
,1
,1
,1
,1
,1
,1
,2
,1
,1
,1
