App.,Taxon,Term,Unit,Country,2000
I,Abies spp.,live,,BE,6
I,Acinonyx jubatus,bodies,,NE,1
I,Acinonyx jubatus,bodies,,ZA,2
I,Acinonyx jubatus,claws,,ZW,18
I,Acinonyx jubatus,leather products (small),,ZA,1
I,Acinonyx jubatus,live,,AE,3
I,Acinonyx jubatus,live,,CA,4
I,Acinonyx jubatus,live,,CH,1
I,Acinonyx jubatus,live,,CZ,2
I,Acinonyx jubatus,live,,IE,2
I,Acinonyx jubatus,live,,NL,1
I,Acinonyx jubatus,live,,US,1
I,Acinonyx jubatus,live,,ZA,34
I,Acinonyx jubatus,live,,ZW,2
I,Acinonyx jubatus,skins,,CZ,2
I,Acinonyx jubatus,skins,,DE,2
I,Acinonyx jubatus,skins,,HK,146
I,Acinonyx jubatus,skins,,KE,1
I,Acinonyx jubatus,skins,,NA,26
I,Acinonyx jubatus,skins,,XX,1
I,Acinonyx jubatus,skins,,ZA,2
I,Acinonyx jubatus,skins,,ZW,3
I,Acinonyx jubatus,skulls,,BW,1
I,Acinonyx jubatus,skulls,,NA,22
I,Acinonyx jubatus,skulls,,ZA,4
I,Acinonyx jubatus,skulls,,ZW,3
I,Acinonyx jubatus,specimens,flasks,NA,173
I,Acinonyx jubatus,specimens,,NA,173
I,Acinonyx jubatus,specimens,,ZA,100
I,Acinonyx jubatus,trophies,,DE,2
I,Acinonyx jubatus,trophies,,NA,59
I,Acinonyx jubatus,trophies,,ZA,4
I,Acinonyx jubatus,trophies,,ZW,8
I,Acipenser sturio,specimens,kg,HU,2
I,Acrantophis dumerili,live,,DE,2
I,Acrantophis dumerili,live,,US,10
I,Acrantophis dumerili,specimens,ml,MG,0.4
I,Acrantophis dumerili,specimens,,MG,1
I,Acrantophis madagascariensis,live,,DE,4
I,Acrantophis madagascariensis,live,,DK,6
I,Acrantophis madagascariensis,live,,SE,3
I,Acrantophis madagascariensis,live,,US,3
I,Acrantophis madagascariensis,specimens,,MG,7
I,Addax nasomaculatus,live,,CA,8
I,Addax nasomaculatus,live,,CZ,1
I,Addax nasomaculatus,live,,DE,1
I,Addax nasomaculatus,live,,IL,6
I,Addax nasomaculatus,live,,NL,2
I,Addax nasomaculatus,live,,SK,1
I,Addax nasomaculatus,live,,US,15
I,Addax nasomaculatus,trophies,,MX,1
I,Addax nasomaculatus,trophies,,US,2
I,Addax nasomaculatus,trophies,,ZA,4
I,Agave parviflora,live,,DE,9
I,Agave parviflora,live,,ES,10
I,Agave parviflora,live,,MC,3
I,Agave parviflora,seeds,,US,4600
I,Agave parviflora,seeds,,XX,20
I,Agave spp.,live,,BE,445
I,Ailuropoda melanoleuca,hair,,CN,195
I,Ailuropoda melanoleuca,live,,CN,5
I,Ailuropoda melanoleuca,specimens,l,CN,1.8
I,Ailuropoda melanoleuca,specimens,ml,DE,4
I,Ailuropoda melanoleuca,specimens,ml,HK,10
I,Ailuropoda melanoleuca,specimens,,CN,513
I,Ailuropoda melanoleuca,specimens,,DE,15
I,Ailuropoda melanoleuca,specimens,,FR,41
I,Ailuropoda melanoleuca,specimens,,JP,25
I,Ailuropoda melanoleuca,specimens,,US,20
I,Ailurus fulgens,live,,CH,1
I,Ailurus fulgens,live,,CN,10
I,Ailurus fulgens,live,,DE,2
I,Ailurus fulgens,live,,ES,1
I,Ailurus fulgens,live,,HR,1
I,Ailurus fulgens,live,,HU,1
I,Ailurus fulgens,live,,IT,1
I,Ailurus fulgens,live,,NL,1
I,Ailurus fulgens,live,,PL,1
I,Ailurus fulgens,live,,PT,2
I,Ailurus fulgens,live,,SE,1
I,Alligator sinensis,live,,CN,30
I,Alligator sinensis,live,,DK,1
I,Alligator sinensis,live,,US,10
I,Aloe albida,live,,ZA,1
I,Aloe albida,seeds,,DE,1
I,Aloe albida,seeds,,GB,10
I,Aloe albida,seeds,,US,1
I,Aloe bellatula,live,,DE,4
I,Aloe bellatula,live,,MC,2
I,Aloe bellatula,live,,US,2
I,Aloe calcairophila,seeds,,DE,10
I,Aloe compressa,live,,CH,171
I,Aloe compressa,live,,DE,2
I,Aloe compressa,live,,MC,2
I,Aloe compressa var. rugosquamosa,live,,CH,73
I,Aloe descoingsii,live,,DE,2
I,Aloe descoingsii,live,,MC,1
I,Aloe descoingsii,live,,US,1
I,Aloe descoingsii,live,,ZA,11
I,Aloe descoingsii,roots,,ZA,21
I,Aloe fragilis,live,,CH,50
I,Aloe fragilis,live,,DE,4
I,Aloe haworthioides,live,,DE,8
I,Aloe haworthioides,live,,MC,3
I,Aloe haworthioides,live,,US,1654
I,Aloe haworthioides,live,,ZA,37
I,Aloe haworthioides,roots,,ZA,1
I,Aloe haworthioides var. aurantiaca,live,,MG,10
I,Aloe laeta,live,,CH,61
I,Aloe laeta,live,,DE,2
I,Aloe laeta,live,,MC,2
I,Aloe laeta,live,,US,73
I,Aloe laeta,seeds,,DE,10
I,Aloe parallelifolia,live,,CH,95
I,Aloe parallelifolia,live,,MG,2
I,Aloe parallelifolia,live,,US,30
I,Aloe parvula,live,,CH,215
I,Aloe pillansii,live,,DE,10
I,Aloe pillansii,live,,ZA,62
I,Aloe rauhii,live,,DE,4
I,Aloe rauhii,live,,PE,2100
I,Aloe rauhii,live,,US,2
I,Aloe spp.,live,,DE,2
I,Aloe suzannae,seeds,,DE,100
I,Aloe versicolor,live,,MG,20
I,Alouatta palliata,hair,g,NI,180
I,Alouatta palliata,specimens,flasks,PA,75
I,Alouatta palliata,specimens,g,NI,1900
I,Alouatta palliata,specimens,,PA,120
I,Amazona barbadensis,live,,GR,2
I,Amazona barbadensis,live,,NL,3
I,Amazona barbadensis,live,,US,7
I,Amazona barbadensis,specimens,,GB,5
I,Amazona brasiliensis,live,,AT,3
I,Amazona brasiliensis,live,,HU,5
I,Amazona brasiliensis,live,,XX,1
I,Amazona guildingii,live,,VC,4
I,Amazona guildingii,specimens,,BB,26
I,Amazona leucocephala,live,,CH,18
