Country,2002
BE,332.0
FR,1171.0
BG,18.0
BM,1.0
BO,3.0
JP,383.0
BI,1.0
BJ,17.0
BW,785.0
BR,13.0
ET,36.0
FI,133.0
FJ,149.0
FK,8.5
BY,15.0
RU,857.0
RW,1.0
NL,64.0
NO,326.0
NA,1618.0
NC,1.0
NG,83.0
NZ,98.0
TM,8.0
RO,226.0
CK,1.0
CI,187.75
CH,673.0
CO,2.0
CN,431.0
GQ,6.0
CL,14.0
CA,20495.0
CG,3.0
CF,251.0
GY,2.0
CD,2.0
GG,1.0
CZ,27.0
XX,53.0
GB,3184.9
GA,131.0
TG,1.0
GN,22.0
GL,365.015
TD,13.0
CU,28.0
GH,4.0
SY,2.0
KG,26.0
KE,34.0
IL,2.0
KH,1.0
SK,9.0
SI,70.0
SN,357.0
SL,5.0
KZ,13.0
SA,1.0
SG,30000.0
SE,551.0
SD,9.0
DK,156.0
HR,29.0
DE,805.0
BF,13.0
AT,138.0
HK,8121.0
GT,3.0
MK,2.0
JE,26.0
GR,6.0
LB,1.0
CM,343.0
LA,1084.0
TW,1.0
TT,1.0
TR,7.0
LV,15.0
TO,3.0
LU,2.0
TJ,10.0
PG,26504.0
TH,25.0
PE,1.0
PK,6.0
PH,4.0
PL,6.8149999999999995
LY,4.0
ZM,1099.7
AE,1.0
NI,2.0
EE,52.0
EG,5.0
IR,57.0
ZA,4650.0
VN,14.0
IT,78.0
AR,601.0
AU,691.0
AO,20.0
IO,1.0
IN,2.0
TZ,7253.0
ZW,3953.8
IE,1.0
ID,2002.0
ES,47.0
SB,11.0
UY,3.0
MC,58.0
UZ,2.0
UA,9.0
MN,101.0
CY,1.0
US,1583.0
MU,1.0
MW,59.0
IM,16.0
UG,25696.0
MY,15080.0
MX,100.0
MZ,171.0
