Country,2007
BD,8.0
BE,212.0
FR,472.65999999999997
BG,3.0
BA,2.0
ET,54.0
JP,636.0
BF,62.0
BJ,3.0
BW,889.0
BR,18.0
GN,17.0
FI,184.0
FJ,275.0
FK,6.0
RU,871.0
NL,29.7
NO,2.0
NA,2123.0
NC,23.0
CD,1.0
NE,1.0
NG,42.0
EE,1.0
NZ,384.0
RO,163.0
CI,132.85000000000002
CH,1089.147
CO,1.0
GR,10.0
CM,352.0
CL,11.0
CC,1.0
BH,4.0
CA,19436.0
CG,202.0
CF,314.0
SY,15.0
BI,19.0
GG,3.0
GF,1.0
XX,168.0
GB,4799.0
GA,39.0
UY,10.0
GL,10.0
TD,9.0
CU,38.0
GH,13.0
OM,2.0
KG,18.0
KE,14.0
IL,5.0
KH,1.0
KR,19.0
SI,357.0
JO,1.0
SN,2.0
SL,5.0
KZ,4.0
IT,58.0
SG,15007.0
SE,677.0
SD,3.0
DK,1333.0
HR,109.0
DE,1635.245
HU,10.0
HK,4268.0
GT,63.0
DZ,2.0
JE,139.0
CN,61.0
TZ,5970.0
PT,114.0
LA,13.0
TW,7.0
TR,29.0
TN,3.0
TO,5.0
TJ,9.0
PG,24040.0
TH,2411.3
PE,97.0
PK,42.0
PH,3.0
PL,41.0
LY,22.0
ZM,964.0
AE,37.0
AG,2.0
AF,37.0
SB,0.6
IR,35.0
ZA,4937.3
AN,2.0
AQ,10.0
AR,791.0
AU,7685.0
VU,51.0
IN,9.0
LB,3.0
ZW,1939.0
IE,20.0
ID,12040.0
ES,28.0
MA,4.0
MC,2.0
UZ,1.0
MN,108.0
MH,4.0
US,8773.0
QA,6.0
MW,718.0
SA,1.0
UG,1422.5
MZ,574.0
UA,2.0
MX,664.0
AT,144.0
