App.,Taxon,Term,Unit,Country,2012
I,Loxodonta africana,bone carvings,,ZA,2
I,Loxodonta africana,bones,,MZ,5
I,Loxodonta africana,bones,,US,1
I,Loxodonta africana,bones,,ZA,8
I,Loxodonta africana,carvings,g,IL,400
I,Loxodonta africana,carvings,g,NZ,559
I,Loxodonta africana,carvings,kg,BE,28.514
I,Loxodonta africana,carvings,kg,DK,0.5
I,Loxodonta africana,carvings,kg,GB,0.2
I,Loxodonta africana,carvings,kg,NL,140
I,Loxodonta africana,carvings,,AE,1
I,Loxodonta africana,carvings,,AR,6.5
I,Loxodonta africana,carvings,,AT,7
I,Loxodonta africana,carvings,,AU,10
I,Loxodonta africana,carvings,,BE,2
I,Loxodonta africana,carvings,,BY,3
I,Loxodonta africana,carvings,,CA,76
I,Loxodonta africana,carvings,,CF,4
I,Loxodonta africana,carvings,,CH,54
I,Loxodonta africana,carvings,,CN,4
I,Loxodonta africana,carvings,,DE,224
I,Loxodonta africana,carvings,,DK,32
I,Loxodonta africana,carvings,,ES,31
I,Loxodonta africana,carvings,,FR,219
I,Loxodonta africana,carvings,,GB,4946
I,Loxodonta africana,carvings,,GR,3
I,Loxodonta africana,carvings,,HK,1
I,Loxodonta africana,carvings,,IT,8
I,Loxodonta africana,carvings,,JP,18
I,Loxodonta africana,carvings,,KE,2
I,Loxodonta africana,carvings,,KR,1
I,Loxodonta africana,carvings,,LB,1
I,Loxodonta africana,carvings,,MC,2
I,Loxodonta africana,carvings,,MT,1
I,Loxodonta africana,carvings,,MX,2
I,Loxodonta africana,carvings,,NL,1
I,Loxodonta africana,carvings,,NZ,773
I,Loxodonta africana,carvings,,PT,1
I,Loxodonta africana,carvings,,QA,5
I,Loxodonta africana,carvings,,SE,3
I,Loxodonta africana,carvings,,SG,4
I,Loxodonta africana,carvings,,US,1046.5
I,Loxodonta africana,carvings,,UY,22
I,Loxodonta africana,carvings,,VA,1
I,Loxodonta africana,carvings,,XV,9
I,Loxodonta africana,carvings,,XX,1
I,Loxodonta africana,derivatives,,AR,2
I,Loxodonta africana,derivatives,,GB,4
I,Loxodonta africana,derivatives,,PL,1
I,Loxodonta africana,derivatives,,SN,2
I,Loxodonta africana,ears,,BW,6
I,Loxodonta africana,ears,,FR,1
I,Loxodonta africana,ears,,MZ,19
I,Loxodonta africana,ears,,TZ,12
I,Loxodonta africana,ears,,ZA,9
I,Loxodonta africana,ears,,ZM,2
I,Loxodonta africana,feet,,BW,36
I,Loxodonta africana,feet,,CH,2
I,Loxodonta africana,feet,,CM,2
I,Loxodonta africana,feet,,FR,4
I,Loxodonta africana,feet,,GB,5
I,Loxodonta africana,feet,,LS,5
I,Loxodonta africana,feet,,MZ,54
I,Loxodonta africana,feet,,TZ,21
I,Loxodonta africana,feet,,ZA,15
I,Loxodonta africana,feet,,ZM,1
I,Loxodonta africana,feet,,ZW,8
I,Loxodonta africana,hair,g,ES,100
I,Loxodonta africana,hair,,BW,3
I,Loxodonta africana,hair,,GB,3
I,Loxodonta africana,hair,,LS,483
I,Loxodonta africana,hair,,MZ,2
I,Loxodonta africana,hair,,TZ,66
I,Loxodonta africana,hair,,US,2
I,Loxodonta africana,hair,,ZA,58
I,Loxodonta africana,hair products,,GB,2
I,Loxodonta africana,hair products,,ZA,2
I,Loxodonta africana,ivory carvings,g,HK,535
I,Loxodonta africana,ivory carvings,g,TN,2073
I,Loxodonta africana,ivory carvings,kg,SD,13.7
I,Loxodonta africana,ivory carvings,kg,US,1
I,Loxodonta africana,ivory carvings,,AR,11
I,Loxodonta africana,ivory carvings,,AT,174
I,Loxodonta africana,ivory carvings,,AU,58
I,Loxodonta africana,ivory carvings,,BE,13
I,Loxodonta africana,ivory carvings,,CA,407
I,Loxodonta africana,ivory carvings,,CF,3
I,Loxodonta africana,ivory carvings,,CH,238
I,Loxodonta africana,ivory carvings,,CL,8
I,Loxodonta africana,ivory carvings,,CN,6
I,Loxodonta africana,ivory carvings,,DE,186
