App.,Taxon,Term,Unit,Country,2005
I,Abies guatemalensis,dried plants,,GT,182
I,Abies guatemalensis,specimens,,GT,262
I,Acinonyx jubatus,bodies,,FR,2
I,Acinonyx jubatus,bodies,,ZA,5
I,Acinonyx jubatus,hair,kg,DJ,1.415
I,Acinonyx jubatus,live,,AE,6
I,Acinonyx jubatus,live,,AU,1
I,Acinonyx jubatus,live,,CH,2
I,Acinonyx jubatus,live,,FR,1
I,Acinonyx jubatus,live,,ID,2
I,Acinonyx jubatus,live,,JP,1
I,Acinonyx jubatus,live,,NL,7
I,Acinonyx jubatus,live,,PL,1
I,Acinonyx jubatus,live,,SI,1
I,Acinonyx jubatus,live,,ZA,76
I,Acinonyx jubatus,live,,ZM,1
I,Acinonyx jubatus,skins,,AO,1
I,Acinonyx jubatus,skins,,AT,1
I,Acinonyx jubatus,skins,,CA,1
I,Acinonyx jubatus,skins,,CD,2
I,Acinonyx jubatus,skins,,CH,1
I,Acinonyx jubatus,skins,,GB,2
I,Acinonyx jubatus,skins,,NA,10
I,Acinonyx jubatus,skins,,NZ,1
I,Acinonyx jubatus,skins,,ZA,1
I,Acinonyx jubatus,skulls,,AT,1
I,Acinonyx jubatus,skulls,,NA,6
I,Acinonyx jubatus,specimens,flasks,NA,230
I,Acinonyx jubatus,specimens,kg,FR,2
I,Acinonyx jubatus,specimens,,AE,1
I,Acinonyx jubatus,specimens,,AU,14
I,Acinonyx jubatus,specimens,,CH,505
I,Acinonyx jubatus,specimens,,KE,16
I,Acinonyx jubatus,specimens,,NA,700
I,Acinonyx jubatus,specimens,,ZA,3
I,Acinonyx jubatus,specimens,,ZW,1
I,Acinonyx jubatus,trophies,,AT,2
I,Acinonyx jubatus,trophies,,DE,1
I,Acinonyx jubatus,trophies,,NA,108
I,Acinonyx jubatus,trophies,,ZA,4
I,Acinonyx jubatus,trophies,,ZW,6
I,Acipenser brevirostrum,live,,US,3
I,Acrantophis dumerili,live,,AR,2
I,Acrantophis dumerili,live,,CH,2
I,Acrantophis dumerili,live,,NL,5
I,Acrantophis dumerili,live,,NO,2
I,Acrantophis dumerili,live,,PL,2
I,Acrantophis dumerili,live,,PY,2
I,Acrantophis dumerili,live,,US,2
I,Acrantophis dumerili,specimens,,US,1
I,Acrantophis madagascariensis,live,,CH,1
I,Acrantophis madagascariensis,live,,DE,10
I,Acrantophis madagascariensis,live,,SE,7
I,Acrantophis madagascariensis,live,,US,1
I,Acrantophis madagascariensis,specimens,,MG,2
I,Addax nasomaculatus,carvings,,US,1
I,Addax nasomaculatus,live,,AE,7
I,Addax nasomaculatus,live,,CZ,3
I,Addax nasomaculatus,live,,US,40
I,Addax nasomaculatus,skins,,US,2
I,Addax nasomaculatus,trophies,,NZ,1
I,Addax nasomaculatus,trophies,,US,3
I,Agave parviflora,live,,ES,50
I,Agave parviflora,live,,TH,9
I,Agave parviflora,seeds,,US,220
I,Agave spp.,live,,ES,60
